"F1","Year","Genre","Genre (.)","Genre - Split 2","Title","Mean Length","Max Length"
"0","1987","adventure-fantasy","adventure","fantasy","The Princess Bride","7","94"
"1","2004","action-drama","action","drama","Man On Fire","7","57"
"2","2009","comedy-drama","comedy","drama","He's Just Not That Into You","7","152"
"3","1992","biography","biography","","Malcolm X","8","320"
"4","1994","crime-drama","crime","drama","Pulp Fiction","7","200"
"5","2005","action-comedy","action","comedy","Feast","5","98"
"6","1992","comedy-drama","comedy","drama","Hero","10","244"
"7","1939","comedy-romance","comedy","romance","Ninotchka","8","111"
"8","1986","drama-mystery","drama","mystery","Blue Velvet","6","131"
"9","2001","drama","drama","","The Believer Script","7","180"
"10","2008","crime-drama","crime","drama","No Country For Old Men","6","114"
"11","1991","drama-history","drama","history","JFK","15","418"
"12","1999","action-adventure","action","adventure","The World is not Enough","7","93"
"13","1985"," sci-fi, adventure","sci-fi","fi, adventure","Spider-Man","6","234"
"14","1997","action-crime","action","crime","The Assignment","8","160"
"15","2002","comedy-horror","comedy","horror","Slash","6","59"
"16","2008","drama-sport","drama","sport","The  Wrestler","4","105"
"17","2002","drama-fantasy","drama","fantasy","Queen of the Damned","7","103"
"18","1999","action-comedy","action","comedy","Mystery Men","5","196"
"19","2004","comedy-drama","comedy","drama","Sideways","7","148"
"20","1993","drama","drama",""," Bodies, Rest & Motion","4","151"
"21","1999","horror-mystery","horror","mystery","House on Haunted Hill","6","113"
"22","1973","crime-drama","crime","drama","Badlands","7","99"
"23","1999","action-adventure","action","adventure","Mummy","7","158"
"24","2006","action-crime","action","crime","Crank","5","69"
"25","1995","biography-drama","biography","drama","Braveheart","8","211"
"26","1991","comedy-drama","comedy","drama","The Fisher King","7","233"
"27","1992","comedy-crime","comedy","crime","The Distinguished Gentleman","8","74"
"28","2002","horror-mystery","horror","mystery","Below","7","117"
"29","1996","horror-mystery","horror","mystery","Scream","6","353"
"30","2005","biography-drama","biography","drama","Warm Springs","7","72"
"31","2002","drama-mystery","drama","mystery","Solaris","6","125"
"32","1997","drama-romance","drama","romance","Inventing the Abbotts","5","160"
"33","1999","drama","drama","","Fight Club","6","96"
"34","1979","drama-war","drama","war","Apocalypse Now","8","171"
"35","2006","crime-drama","crime","drama","Jimmy and Judy","6","115"
"36","1986","action-adventure","action","adventure","Highlander","5","149"
"37","2017","animation-adventure","animation","adventure","Coco","6","78"
"38","2008","action-comedy","action","comedy","Pineapple Express","7","100"
"39","1992","drama-horror","drama","horror","Twin Peaks","7","186"
"40","1991","action-adventure","action","adventure","Hudson Hawk","9","102"
"41","2013","biography-drama","biography","drama","Fruitvale Station","6","63"
