F1;Year;Genre;Genre - Split 1;Genre - Split 2;Film Title;Number Of Heroes;
0;1992;drama-fantasy;drama;fantasy;Newsies;107;
1;1992;drama-western;drama;western;Unforgiven;41;
2;1990;comedy-drama;comedy;drama;Bonfire of the Vanities;91;
3;2005;action-drama;action;drama;V for Vendetta;52;
4;1984;action-comedy;action;comedy;Ghostbusters;66;
5;1994;drama-romance;drama;romance;Forrest Gump;102;
6;2009;adventure-biography;adventure;biography;Amelia;56;
7;1997;adventure-comedy;adventure;comedy;Austin Powers International Man of Mystery;79;
8;2011;comedy-romance;comedy;romance;Hall Pass;65;
9;1981;adventure-drama;adventure;drama;Excalibur;45;
10;1980;horror-mystery;horror;mystery;Friday the 13th;43;
11;1982;horror-mystery;horror;mystery;The Thing;38;
12;1949;action-adventure;action;adventure;Roughshod;25;
13;1979;drama;drama;;Kramer vs Kramer;39;
14;1985;action-crime;action;crime;Silverado;57;
15;2001;action-western;action;western;American Outlaws;50;
16;1972;drama;drama;;The Day the Clown Cried;71;
17;2011;crime-drama;crime;drama;Drive;29;
18;1999;mystery-thriller;mystery;thriller;8MM;30;
19;1990;biography-drama;biography;drama;Awakenings;93;
20;1983;action-adventure;action;adventure;Star Wars Episode VI - Return of the Jedi;56;
21;1985;crime-drama;crime;drama;Witness;40;
22;1998;crime-drama;crime;drama;Croupier;41;
23;1998;biography-drama;biography;drama;Gods and Monsters;36;
24;2017;biography-comedy;biography;comedy;Battle of the Sexes;86;
25;2004;drama;drama;;The Woodsman;25;
26;1996;action-adventure;action;adventure;The Postman;62;
27;1967;crime-drama;crime;drama;Cool Hand Luke;46;
28;1988;drama-history;drama;history;Beloved;53;
29;1995;drama;drama;;Kids;43;
30;2009;drama;drama;;Precious;38;
31;2002;action-horror;action;horror;Blade II;28;
32;2004;action-adventure;action;adventure;Hellboy;51;
33;1997;action-crime;action;crime;Breakdown;28;
34;1997;adventure-comedy;adventure;comedy;Men In Black;53;
35;2011;comedy-drama;comedy;drama;The Descendants;38;
36;1992;crime- drama;crime;drama;Reservoir Dogs;34;
37;1951;drama-sci-fi;drama;sci-fi;The Day the Earth Stood Still;50;
38;2002;action-drama;action;drama;Collateral Damage;52;
39;1993;action-adventure;action;adventure;Cliffhanger;26;
40;2007;adventure- comedy;adventure;comedy;Wild Hogs;54;
41;2003;comedy-crime;comedy;crime;Bad Santa;85;
42;2007;crime-drama;crime;drama;Honeydripper;45;
43;2007;comedy-drama;comedy;drama;Juno;40;
