"F1","Year","Title","Genre","Genre - Split 1","Genre - Split 2","Close Up","Extreme Close","Fast Motion","Slow-Mo","Wide View(Long Shot)","POV","Zoom","Med Close Shot","Med, Long Shot","Medium","Pan Down","Pan Left","Pan Right","Pan Up","Tilt Down","Tilt Up"
"0","1994"," Forrest Gump"," drama-romance","drama","romance","","","","2","","1","","","","","","","","","",""
"1","2009"," Amelia"," adventure-biography","adventure","biography","","","","","","1","","","","","","","","","1",""
"2","1997","Austin Powers International Man of Mystery"," adventure-comedy","adventure","comedy","","","","1","","1","1","","","","","","","","",""
"3","2011"," Hall Pass"," comedy-romance","comedy","romance","","","","2","","1","","","","","","","","","",""
"4","1980"," Friday the 13th"," horror-mystery","horror","mystery","6","","","","4","","","","","1","","","","","",""
"5","1982","The Thing"," horror-mystery","horror","mystery","4","","","","1","2","","","","","","","","","",""
"6","1949"," Roughshod"," action-adventure","action","adventure","4","","","","42","","","","12","","","","","","",""
"7","1979"," Kramer vs Kramer"," drama","drama","","8","2","","","49","","","","","3","","","","","",""
"8","1972"," The Day the Clown Cried"," drama","drama","","3","","","","11","","","","5","","","","","","",""
"9","1999"," 8MM"," mystery-thriller","mystery","thriller","1","","","","2","","","","","","1","","","","",""
"10","1983","Star Wars Episode VI - Return of the Jedi"," action-adventure","action","adventure","","","","","2","","","","","","1","","","","",""
"11","1985"," Witness"," crime-drama","crime","drama","1","","","","2","","","","","","","","","","",""
"12","1998"," Croupier"," crime-drama","crime","drama","1","","","1","2","","","","","","","","","","",""
"13","2004"," The Woodsman"," drama","drama","","","1","","","2","","1","","","","","","","","","1"
"14","1996"," The Postman"," action-adventure","action","adventure","","","","","","1","","","","","","","","1","",""
"15","1967"," Cool Hand Luke"," crime-drama","crime","drama","7","1","","","1","1","","","","","","","","","",""
"16","1995"," Kids"," drama","drama","","1","2","","","4","3","","","","","","","","","",""
"17","2009"," Precious"," drama","drama","","","","","","4","3","","","","1","","","","","",""
"18","2002","Blade II","action-horror","action","horror","1","","","","4","3","","","","","","","","","",""
"19","1997"," Breakdown"," action-crime","action","crime","","","","","1","1","","","","","","","","","",""
"20","1997"," Men In Black"," adventure-comedy","adventure","comedy","","","","","","1","","","","","1","","","","",""
"21","2011"," The Descendants"," comedy-drama","comedy","drama","","1","","","3","","1","","","","","","","","",""
"22","1992"," Reservoir Dogs"," crime- drama","crime","drama","9","","","3","","","","","","10","","","","","",""
"23","1951"," The Day the Earth Stood Still"," drama-sci-fi","drama","sci-fi","1","","","","19","","","3","6","","","","","","",""
"24","2002"," Collateral Damage"," action-drama","action","drama","12","","","2","","","","","","","","","","","",""
"25","1993","Cliffhanger"," action-adventure","action","adventure","","","","","9","","","","","","","","","","",""
"26","2003"," Bad Santa"," comedy-crime","comedy","crime","","","","1","","1","","","","","","","","","",""
"27","2007"," Honeydripper"," crime-drama","crime","drama","","","","","","7","","","","","","","","","1",""
"28","1997","U Turn"," crime-drama","crime","drama","1","","","","4","1","","","","","","","","","",""
"29","2002"," Simone"," comedy-drama","comedy","drama","7","","","","1","1","","","","","","","","","",""
"30","2017"," Beauty and the Beast"," musical-fantasy","musical","fantasy","1","","","","1","1","","","","","","","","","","1"
"31","1980","AIRPLANE!","comedy","comedy","","14","","1","","1","1","","","","","","","","","",""
"32","2003"," Crime Spree"," action-comedy","action","comedy","","","","3","","1","","","","","","","","","",""
"33","2007"," Nines"," drama-fantasy","drama","fantasy","1","","","","","1","","","","","","","","","",""
"34","1976","  All the Presidents Men"," biography-drama","biography","drama","13","","","","2","","","","","","","","","","",""
"35","2003"," Malibu's Most Wanted"," comedy-crime","comedy","crime","3","","","3","1","","","","","","","","","","",""
"36","1997"," Face Off"," action-crime","action","crime","2","1","","","1","1","1","","","","","","","","","1"
"37","2004"," Manchurian candidate"," drama-mystery","drama","mystery","","1","","","1","","1","","","","","","","1","",""
"38","2003"," Gothika"," horror-mystery","horror","mystery","","1","","","","1","","","","","1","","","1","",""
"39","1949"," Playback","drama","drama","","1","","","1","1","","","","","","","","","","",""
"40","2004"," The Butterfly Effect"," sci-fi-thriller","sci-fi","thriller","2","","","","1","","","","","","","","","","",""
"41","2013"," Bling Ring"," biography-crime","biography","crime","18","","","","1","","","","","","","","","","",""
"42","1987"," Evil Dead II Dead by Dawn","comedy-horror","comedy","horror","2","3","1","","24","8","","","","115","","","","","",""
"43","2009"," Terminator Salvation","action-adventure","action","adventure","","","","2","1","","","","","","","","","","1",""
"44","2013","American Hustle"," crime-drama","crime","drama","1","","","2","1","","","","","","1","","","","","1"
"45","2000","Frequency"," crime-drama","crime","drama","","","","","1","","","","","","","","","1","",""
"46","1944"," The curse of the cat people"," drama","drama","","21","","","","6","","","1","","","","","","","",""
"47","2000"," Quills"," biography-drama","biography","drama","1","","","","1","","","","","","","","","","",""
"48","1996"," Jerry Maguire"," comedy-drama","comedy","drama","","","","2","","2","","","","","","","","","",""
"49","2009"," 17 Again"," comedy-drama","comedy","drama","","","","","1","2","","","","","","","","","",""
"50","1949","Blue Hotel"," drama","drama","","61","7","","","11","2","","","","136","","","","","","1"
